titulo,contenido,fundamento,categoria
Amparo por derivación médica,Modelo de amparo para obtener derivación médica urgente de paciente con diagnóstico grave.,"Ley 23.661 art. 28 - Fallo: 'Sisamed' CSJN 2019.",Salud
Medida cautelar de cobertura de tratamiento,Modelo de medida cautelar solicitando la cobertura de tratamiento oncológico integral.,"Ley 26.682 - Fallo: 'Cañete' CSJN 2020.",Salud
Amparo opción de cambio de obra social,Modelo para ejercicio del derecho de libre opción de cambio de obra social por necesidad médica.,"Ley 26.682 art. 10 - Resolución 1216/03 SSSalud.",Salud
Demanda de daños y perjuicios por mala praxis,Modelo de demanda contra obra social por mala praxis.,"Art. 1737 CCC - 'Figueroa c/ Swiss Medical' CNCiv 2020.",Salud
Recurso de amparo discapacidad,Modelo de amparo para obtener cobertura integral en discapacidad.,"Ley 24.901 art. 15 - Convención Internacional Discapacidad.",Discapacidad
Demanda alimentos menores,Modelo de demanda de alimentos para menores de edad.,"Art. 658 CCC - 'Pérez c/ López' CNCiv 2021.",Familia
Divorcio por presentación conjunta,Modelo de divorcio bilateral sin conflicto.,"Art. 439 CCC - Código Procesal Civil y Comercial.",Familia
Demanda laboral despido,Modelo de demanda laboral por despido.,"Ley 20.744 art. 245.",Laboral
Demanda por ART,Modelo de demanda por accidente laboral.,"Ley 24.557 art. 14 bis - Decreto 1694/09.",Laboral
Exclusión del hogar,Modelo de exclusión del hogar por violencia familiar.,"Ley 26.485 art. 26.",Familia
Medida cautelar innovativa,Modelo de cautelar innovativa.,"Art. 230 CPCCN - Doctrina Fenochietto.",Cautelares
Medida autosatisfactiva salud,Modelo de medida autosatisfactiva en salud.,"CSJN: 'Camacho Acosta' 2002 - Doctrina Morello.",Cautelares
